,Unnamed: 0,Target,Tweet,Unnamed: 3,Unnamed: 4,Label
0,1673,Hillary Clinton,RT GunnJessica Because I want young American women to be able to be proud of the st woman president SemST,FAVOR,OTHER,POSITIVE
1,1674,Hillary Clinton,Chris newsbusters years ago Hillary never answered whether she used private email Liberal media passed on reporting SemST,AGAINST,TARGET,NEGATIVE
2,1675,Hillary Clinton,dnewhauser take that Marco Rubio GOP can not pander to the Latino vote while pushing policies that hurt the community most SemST,NONE,OTHER,NEGATIVE
3,1676,Hillary Clinton,StateDept AmbCathyRussell AdamSmithUSA HillaryClinton HillaryforIA BarackObama The whole world is supporting you SemST,FAVOR,TARGET,POSITIVE
4,1677,Hillary Clinton,Lets remember dickcheney is an unindicted war criminal b we start yelling Benghazi day after day Will we ever see justice SemST,NONE,OTHER,NEGATIVE
5,1678,Hillary Clinton,Although I certainly have disagreements after reading about GovernorOMalley I much rather have him than HillaryClinton SemST,AGAINST,TARGET,NEITHER
6,1679,Hillary Clinton,Human rights are womens rights and womens rights are human rights Hillary Clinton SemST,FAVOR,TARGET,POSITIVE
7,1680,Hillary Clinton,Would you wan na be in a long term relationship with some bitch that hides her emails lies to your face Then Dontvote SemST,AGAINST,TARGET,NEGATIVE
8,1681,Hillary Clinton,Bill Clinton just wants to be the first dude to be President and bang one SemST,NONE,OTHER,NEGATIVE
9,1682,Hillary Clinton,HuffPostPol If HillaryClinton can do half of what he did then she would be doing is a favor SemST,FAVOR,TARGET,NEGATIVE
10,1683,Hillary Clinton,Ive made my decision to the shock of no one probably who Im supporting SemST,NONE,NO ONE,NEGATIVE
11,1684,Hillary Clinton,Didnt realize Bob Dole was mentioned in Tupacs How do u want it YesterdaysLeaders SemST,NONE,NO ONE,NEITHER
12,1685,Hillary Clinton,If I run for office this will be my original logo M libertynothillary HillNo tcot UniteBlue SemST,AGAINST,TARGET,NEITHER
13,1686,Hillary Clinton,I will be there when your little tree has run out of smell ThatChampion SemST,NONE,OTHER,NEGATIVE
14,1687,Hillary Clinton,crazy to think next up for the Oval Office is either going to be Hillary or a Republican SemST,AGAINST,TARGET,NEGATIVE
15,1688,Hillary Clinton,NACLA BrasilWire SOS OBAMA Who BarackObama Are you joking StopDilma StopLula StopForodeSaoPaulo SemST,NONE,OTHER,NEGATIVE
16,1689,Hillary Clinton,CheekyGent ChuckCJohnson Hey Hillary is on her to way to buy votes too HillarySoOld SemST,AGAINST,TARGET,NEGATIVE
17,1690,Hillary Clinton,RT NicolaSturgeon Its official Hillarys running for president says her campaign chief Excellent SemST,FAVOR,TARGET,POSITIVE
18,1691,Hillary Clinton,Only in a SEXIST AS FUK world would we question the qualifications of a former SECRETARY OF STATE SemST,FAVOR,TARGET,NEGATIVE
19,1692,Hillary Clinton,ChrisChristie could not run his way out of a paper bag let alone beat HillaryClinton Go home Chris u r drunk ChrisChristie SemST,FAVOR,TARGET,NEGATIVE
20,1693,Hillary Clinton,ReformedBroker to da honies gittin money playing bleep words like dummies POPPA SemST,NONE,OTHER,NEGATIVE
21,1694,Hillary Clinton,Forgive CherylRios of her stupid comments about women being president She will blame it on that time of the month anyways SemST,NONE,OTHER,NEGATIVE
22,1695,Hillary Clinton,Low key it would be interesting to have a female president SemST,FAVOR,TARGET,POSITIVE
23,1696,Hillary Clinton,seanhannity we lost of our Military boys when your President pulled out of Iraq LiberalConsequences SemST,AGAINST,OTHER,NEGATIVE
24,1697,Hillary Clinton,EthanObama I know its just going to be a long year SemST,NONE,NO ONE,NEGATIVE
25,1698,Hillary Clinton,Technically a president with raging hormones could refer to estrogen testosterone or anabolic steroids IBlamePublicSchools SemST,AGAINST,TARGET,NEGATIVE
26,1699,Hillary Clinton,Does Hillary really need to run this country Could we just make her president of the Bingo club at Shady Pines tcot p SemST,AGAINST,TARGET,NEGATIVE
27,1700,Hillary Clinton,Lol why do so many people around here hate Hillary SemST,FAVOR,TARGET,NEGATIVE
28,1701,Hillary Clinton,HillaryClinton is at the top and has spent her whole career growing government keeping the deck stacked LibertyNotHillary SemST,AGAINST,TARGET,NEGATIVE
29,1702,Hillary Clinton,Problem with libertarian is its not even a decreed party A house devided against itself will not stand think this news to SemST,NONE,OTHER,NEGATIVE
30,1703,Hillary Clinton,HillaryClinton i am portuguese and i support your campaign Best luck The world need a person and a women like you USA SemST,FAVOR,TARGET,POSITIVE
31,1704,Hillary Clinton,Hillary Clinton for Ambassador to ISIS SemST,AGAINST,TARGET,NEGATIVE
32,1705,Hillary Clinton,So when all you brave patriots stop Hillary who you going to replace her with Jeb Bush LOL losers SemST,FAVOR,TARGET,NEGATIVE
33,1706,Hillary Clinton,Im a woman Can I be President StopHillaryPAC SemST,AGAINST,TARGET,NEGATIVE
34,1707,Hillary Clinton,This is not her first time at the rodeo HillaryClinton doesnt care who likes her or not This woman is on a mission Tough SemST,FAVOR,TARGET,POSITIVE
35,1708,Hillary Clinton,lajouetreine KarrattiPaul Im not a Genitalian SemST,NONE,NO ONE,NEGATIVE
36,1709,Hillary Clinton,Wondering what the NEXT idiotic GOP smear against HillaryClinton will be Its coming for sure Just do not know details yet SemST,FAVOR,TARGET,NEGATIVE
37,1710,Hillary Clinton,Hillary is killing it so far on the trail Shes finally showing her personal side and I think it will benefit her profoundly SemST,FAVOR,TARGET,POSITIVE
38,1711,Hillary Clinton,Do we call Bill Mr Presidentthe first st man of Or mr president the st man Lol imreadyforhillary SemST,FAVOR,TARGET,POSITIVE
39,1712,Hillary Clinton,gailtalk trscoop Of course it was Shell be handled every step of the way They can not risk her unscripted SemST,AGAINST,TARGET,NEGATIVE
40,1713,Hillary Clinton,I just want my dog to stop eating the trash SemST,NONE,OTHER,NEGATIVE
41,1714,Hillary Clinton,thehill evanperez are you kidding meleave her to focus on issuesthe next prez SemST,FAVOR,TARGET,NEGATIVE
42,1715,Hillary Clinton,Congratulations HillaryClinton on entering the race for President You have the support of Jews all over the world SemST,FAVOR,TARGET,POSITIVE
43,1716,Hillary Clinton,HillaryClinton had more twitter followers then all four major Republican candidates Bush Rubio Paul Cruz COMBINED SemST,FAVOR,TARGET,POSITIVE
44,1717,Hillary Clinton,HillaryClinton has yet to release ClintonFdn donors Public deserves disclosure Scandals lies Clintons SemST,AGAINST,TARGET,NEGATIVE
45,1718,Hillary Clinton,I want to go back in time to when men and women could not appear in the same yearbook as each other old school SemST,NONE,OTHER,NEGATIVE
46,1719,Hillary Clinton,RT halerazorHillaryAccomplishments of select few people fired being unethical investigate Watergate SemST,AGAINST,TARGET,NEGATIVE
47,1720,Hillary Clinton,How can she live with herself Benghazi SemST,AGAINST,TARGET,NEGATIVE
48,1721,Hillary Clinton,Marriage equality a constitutional right Woot HRC hillaryclinton readyforhillary vote hillaryfor mpotus SemST,FAVOR,TARGET,POSITIVE
49,1722,Hillary Clinton,Hillary needs to go to a Sheetz gas station after pm to see the real America SemST,AGAINST,TARGET,NEGATIVE
50,1723,Hillary Clinton,Hillarys campaign events are scripted dog pony shows designed to shelter her from vetting b the coronation SemST,AGAINST,TARGET,NEGATIVE
51,1724,Hillary Clinton,Yes do tell US name one of her accomplishments SemST,AGAINST,TARGET,NEGATIVE
52,1725,Hillary Clinton,Apparently putting cocaine in someones butthole and then waiting for them to fart in your face is the wrong way to get high SemST,NONE,NO ONE,NEGATIVE
53,1726,Hillary Clinton,Why is Hillary lying AGAIN about something news worthy Whats news worthy is if she doesnt lie about something SemST,AGAINST,TARGET,NEGATIVE
54,1727,Hillary Clinton,Chipotle employees should not complain Hillary left nothing in the tip jar Theyre lucky she did not dip in and help herself SemST,AGAINST,TARGET,NEGATIVE
55,1728,Hillary Clinton,Bluesaloon Women are not a demographic we are at least of the nation So a woman is no more symbolic than a man SemST,NONE,NO ONE,NEGATIVE
56,1729,Hillary Clinton,Sending u gay bear love from Chicago HillaryClinton HillaryMyPresident SemST,FAVOR,TARGET,POSITIVE
57,1730,Hillary Clinton,I love the smell of Hillary in the morning It smells like Republican Victory TedCruz MarcoRubio SemST,AGAINST,TARGET,NEGATIVE
58,1731,Hillary Clinton,ProBirdRights I do a stump speech It on the stump in the park attendance mandatory SemST,NONE,NO ONE,NEITHER
59,1732,Hillary Clinton,Id still rather have Aaron Hernandez as President than Hillary SemST,AGAINST,TARGET,NEITHER
60,1733,Hillary Clinton,JSavoly tedcruz Here ya go teddy boythe world is getting HOTTER Its called GLOBAL WARMING Youre such a PUTZ SemST,NONE,OTHER,NEGATIVE
61,1734,Hillary Clinton,JusticeWillett at least he has a platform SemST,NONE,OTHER,POSITIVE
62,1735,Hillary Clinton,Because Im against common core common crooks and common lies NoHillary StopHillaryClinton WhyImNotVotingForHillary SemST,AGAINST,TARGET,NEGATIVE
63,1736,Hillary Clinton,I would LMAO if some negro Democrat decides to run for President HillaryClinton HillarysBigAnnouncement HillarysDonors SemST,AGAINST,TARGET,NEGATIVE
64,1737,Hillary Clinton,senna KirillWasHere how many men are getting their dicks sucked daily in congress etc and no one gives a shit SemST,NONE,OTHER,NEGATIVE
65,1738,Hillary Clinton,You can not grow an economy from the bottom up If she gets in were ALL in trouble SemST,AGAINST,TARGET,NEGATIVE
66,1739,Hillary Clinton,HillaryClinton Stop raising taxes and let people keep more of their wages LibertyNotHillary StandWithRand SemST,AGAINST,TARGET,NEGATIVE
67,1740,Hillary Clinton,theblaze If you think Hillary is not taking foreign money from Muslim brotherhood you probably favor Obama as chief justice SemST,AGAINST,TARGET,NEGATIVE
68,1741,Hillary Clinton,Fixing Americas political system by getting rid of unaccountable money and Protecting the country SemST,NONE,OTHER,POSITIVE
69,1742,Hillary Clinton,marijuana marijuaage equality coincidence i think nOT SemST,NONE,OTHER,NEGATIVE
70,1743,Hillary Clinton,KoriWasinger JButtawipo she also voted for the Iraq war and was responsible for gathering TheDemocrats votes to support it SemST,AGAINST,TARGET,NEGATIVE
71,1744,Hillary Clinton,Ding Dong SemST,NONE,NO ONE,NEITHER
72,1745,Hillary Clinton,RT MaxTollensJr Onepercenter lied about being DeadBroke No more lies NO to SemST,NONE,OTHER,NEGATIVE
73,1746,Hillary Clinton,SLessard agree We need a woman like Hillary that can help this country get nursed back together SemST,FAVOR,TARGET,POSITIVE
74,1747,Hillary Clinton,Much like you good people I forgot about my livetweetingbladerunner a couple weeks ago callback potroast cartography blue SemST,NONE,OTHER,POSITIVE
75,1748,Hillary Clinton,RandPaul HillaryClinton you could never dream to be as intelligent as she is SemST,FAVOR,TARGET,NEGATIVE
76,1749,Hillary Clinton,If Hillary will lock Americans in classrooms during her campaign shell have no problems locking us all up whenever she wants SemST,AGAINST,TARGET,NEGATIVE
77,1750,Hillary Clinton,WhyImNotVotingForHillary she calls education a nonfamily enterprise ImCommittedDefeatHillary Are you ncpol GOP SemST,AGAINST,TARGET,NEGATIVE
78,1751,Hillary Clinton,bristola AlciniaH Mahogany stphil MzDivah ProgressOhio graceslick AuntLulie deejayedee He cool but NO SemST,NONE,NO ONE,NEGATIVE
79,1752,Hillary Clinton,JeffNichols HillaryforIA freedomjusticeequalityeducation for innovation and development to make happylife in Utopia SemST,FAVOR,TARGET,POSITIVE
80,1753,Hillary Clinton,WhiteHouse BarackObama HillaryforIA BarackObama The whole world is supporting you SemST,FAVOR,TARGET,POSITIVE
81,1754,Hillary Clinton,HillaryClinton Especially the paid union lackies who have no idea why their there Propaganda machine spinning overtime SemST,AGAINST,TARGET,NEGATIVE
82,1755,Hillary Clinton,HillaryClinton The deceit hand Thats a hand you know well Right SemST,AGAINST,TARGET,NEGATIVE
83,1756,Hillary Clinton,AlyssSmithh There she is pant suite Hillary to hide those thighs HillarysDonors HillarysBigAnnouncement Benghazi Obama SemST,AGAINST,TARGET,NEGATIVE
84,1757,Hillary Clinton,HillaryClinton will pick SenWarren for VP Mark my tweet UnstoppableTicket ElizabethWarren SemST,FAVOR,TARGET,POSITIVE
85,1758,Hillary Clinton,Im going to apply for the Intern job SemST,NONE,NO ONE,POSITIVE
86,1759,Hillary Clinton,TX politicalmath Then you know how slippery snakes slither over shards of glass SemST,NONE,OTHER,NEGATIVE
87,1760,Hillary Clinton,drhouse Be interesting to see how Hillary defends same when questioned She will eventually have to answer questions SemST,AGAINST,TARGET,NEGATIVE
88,1761,Hillary Clinton,HillaryClinton Whats the ambient temperature in Hell today Use that as a guide SemST,AGAINST,TARGET,NEGATIVE
89,1762,Hillary Clinton,Gov Chafee why are you trying to make fetch happen Its not going to happen SemST,NONE,OTHER,NEGATIVE
90,1763,Hillary Clinton,everydaysexism Only ATikSalt may say what sexism is The rest of yall shut up SemST,NONE,OTHER,NEGATIVE
91,1764,Hillary Clinton,tjhansen owillis serious if trump runs youll get a trump tattoo Calling the Donald SemST,NONE,NO ONE,NEGATIVE
92,1765,Hillary Clinton,Everything abt HillaryClinton is BOGUS Her issues her history her Iowa trip her Twitter followers her campaigning SemST,AGAINST,TARGET,NEGATIVE
93,1766,Hillary Clinton,hillaryclinton is a champion of data removal SemST,AGAINST,TARGET,NEGATIVE
94,1767,Hillary Clinton,FoundersGirl ArtistAngie I want the first female to be competent SemST,AGAINST,TARGET,POSITIVE
95,1768,Hillary Clinton,Saudi Arabia imprisons flogs rape victims Womens champion HillaryClinton has accepted MILLIONS from Saudi govt tcot SemST,AGAINST,TARGET,NEGATIVE
96,1769,Hillary Clinton,How much was Monica getting paid when Bills burrito squirted sauce all over her pretty blue dress MauraReynolds politico SemST,AGAINST,OTHER,NEGATIVE
97,1770,Hillary Clinton,Go watch America Imagine A World Without Her Itll make you realize how lucky we are to live in the best country on Earth SemST,NONE,OTHER,POSITIVE
98,1771,Hillary Clinton,I suspect Hillarys Scooby Doo tour is being used as a distraction from ServerGate et al NoObamaThirdTerm SemST,AGAINST,TARGET,NEGATIVE
99,1772,Hillary Clinton,Breaking News Hillary trades campaign bus for a broomstick SemST,AGAINST,TARGET,NEGATIVE
100,1773,Hillary Clinton,SoCaliMilitia CzarofFreedom That God for global warming melting icebergs never gets prosecuted for her crimes Liberals SemST,AGAINST,TARGET,NEGATIVE
101,1774,Hillary Clinton,Nothing says Im Every Woman like Democrat staffers in a machine shop in Iowa right HillaryClinton NotReadyForHillary SemST,AGAINST,TARGET,NEGATIVE
102,1775,Hillary Clinton,Id love for some reporter to ask Sec Clinton will u b returning the White House china if elected Or did u already hock it SemST,AGAINST,TARGET,NEGATIVE
103,1776,Hillary Clinton,Very simple the Clintons are corrupt SemST,AGAINST,TARGET,NEGATIVE
104,1777,Hillary Clinton,CaptYonah thehill Fine unethical or illegal quid pro quo uranium deal works for me SemST,NONE,OTHER,NEGATIVE
105,1778,Hillary Clinton,ConservatveGurl those of us that also have a brain will be voting against Hillary SemST,AGAINST,TARGET,NEGATIVE
106,1779,Hillary Clinton,LifeNewsHQ tolerance at its best Do as I say not as I do SemST,NONE,OTHER,NEGATIVE
107,1780,Hillary Clinton,Chris TruthRevolt That doesnt leave much to talk about then does it SemST,NONE,NO ONE,NEGATIVE
108,1781,Hillary Clinton,Im thinking Hillary throws Chelsea under the bus to end Foundation firestorm ClintonCash TheGreaterGood election SemST,AGAINST,TARGET,NEGATIVE
109,1782,Hillary Clinton,FoxNews HappeningNow optics problem No the real Hillary Clinton has stood up ClintonCash IaVotes SemST,AGAINST,TARGET,NEGATIVE
110,1783,Hillary Clinton,HillaryClinton You can run but you cat hide ClintonFoundationscandal ClintonCash emailgate SemST,AGAINST,TARGET,NEGATIVE
111,1784,Hillary Clinton,In case of Emergency Push THIS BUTTON to scrub server SemST,NONE,NO ONE,NEITHER
112,1785,Hillary Clinton,Great to see my mentor RepSusanDavis at DCinSD And shes right we have the most qualified candidate ever running for POTUS SemST,FAVOR,TARGET,POSITIVE
113,1786,Hillary Clinton,BarackObama Lovepeace and peaceful coexistence of all no to violence and terrorism SemST,NONE,OTHER,POSITIVE
114,1787,Hillary Clinton,readyforHRC HillaryClinton Support encourage HillaryClinton president UnitedStates world is success of women in world SemST,FAVOR,TARGET,POSITIVE
115,1788,Hillary Clinton,I bet Leslie Knope would be so happy about SemST,FAVOR,TARGET,POSITIVE
116,1789,Hillary Clinton,Also the speaking fees Hillary took from Goldman Sachs for two speeches JoanVennochi SemST,AGAINST,TARGET,NEGATIVE
117,1790,Hillary Clinton,readyforHRC Support encourage HillaryClinton president UnitedStates world is success of women in world SemST,FAVOR,TARGET,POSITIVE
118,1791,Hillary Clinton,NatureGuy MaryMorientes Support encourage HillaryClinton president UnitedStates world is success of women in world SemST,FAVOR,TARGET,POSITIVE
119,1792,Hillary Clinton,rebeccalipson freedomjusticeequalityeducation for innovation and development to make happylife i Utopia SemST,NONE,OTHER,POSITIVE
120,1793,Hillary Clinton,Before leaving my dads I took the liberty in framing and put up the pictures he has meeting Hillary and Bill Clinton in SemST,FAVOR,NO ONE,POSITIVE
121,1794,Hillary Clinton,HillarysAccomplishments Being a total clusterfuck at anything she does ReadyForHillary UniteBlue TopProg TPOT LibCrib SemST,AGAINST,TARGET,NEGATIVE
122,1795,Hillary Clinton,RT ChuckNellis HillaryClinton name change its no longer HRC its now Hillary Uranium Benghazi Clinton Take note SemST,AGAINST,TARGET,NEGATIVE
123,1796,Hillary Clinton,Hillary is on her way to Baltimore to be their champion BaltimoreRiots SemST,FAVOR,TARGET,NEGATIVE
124,1797,Hillary Clinton,take faith that almost every political entity around you whether dissident or not serves no good purpose Dempublicans SemST,AGAINST,OTHER,NEGATIVE
125,1798,Hillary Clinton,You do not have to be a lawyer to know the Clintons violated ethics rules SemST,AGAINST,TARGET,NEGATIVE
126,1799,Hillary Clinton,Xxoax HillaryClinton MaryMorientes BarackObama The whole world is supporting you SemST,FAVOR,TARGET,POSITIVE
127,1800,Hillary Clinton,HillaryClinton freedomjusticeequalityeducation for innovation and development to make happylife i Utopia SemST,FAVOR,TARGET,POSITIVE
128,1801,Hillary Clinton,So ClintonFdn I believe Andrew Fastow beat you to the we made mistakes as many organizations of our size do excuse SemST,AGAINST,TARGET,NEGATIVE
129,1802,Hillary Clinton,Im years old and care about politics and elections I feel like Im years old SemST,NONE,OTHER,NEGATIVE
130,1803,Hillary Clinton,HillaryClinton I notice that you did not condemn the lawless actions of the rioters SemST,AGAINST,TARGET,NEGATIVE
131,1804,Hillary Clinton,Obama climate change or bush Who to blame Hillary right wing conspiracy in Baltimore BalitmoreRiots SemST,AGAINST,TARGET,NEGATIVE
132,1805,Hillary Clinton,Wasnt the original ScoobyVan also full of unemployed hippies a stupid dog who lived to meddle in other peoples business SemST,AGAINST,TARGET,NEGATIVE
133,1806,Hillary Clinton,In Clinton Foundation collected M and spent M on direct aid in they raised M and spent M on direct aid SemST,AGAINST,TARGET,NEGATIVE
134,1807,Hillary Clinton,Students of BaylorUniversity are yall ready for MarcoRubio in BU Baylor Bears BaylorBears NewAmericanCentury GOP SemST,AGAINST,OTHER,POSITIVE
135,1808,Hillary Clinton,ChelseaClinton HRC Do you stand for BillClinton assaulting teen girls too ReadyForHillary HillaryClinton Clinton SemST,AGAINST,TARGET,NEGATIVE
136,1809,Hillary Clinton,Hey TexasState Bobcats I hope yall are ready for MarcoRubio TexasStateUniversity NewAmericanCentury Texas TCOT SemST,NONE,OTHER,POSITIVE
137,1810,Hillary Clinton,The only thing that I would pay money for is to hear Hillary Clinton say I QUIT and Im GUILTY that would be worth millions SemST,AGAINST,TARGET,NEGATIVE
138,1811,Hillary Clinton,Hillary Clinton keeps sending me emails and when I try to unsubscribe I get an error message THIS IS CANCER SemST,AGAINST,TARGET,NEGATIVE
139,1812,Hillary Clinton,HillaryClinton BarackObama The whole world is supporting you SemST,FAVOR,TARGET,POSITIVE
140,1813,Hillary Clinton,Denial It works for Hillary why not the Mayor of Baltimore DemocratLiesMatter SemST,AGAINST,TARGET,NEGATIVE
141,1814,Hillary Clinton,Join the Twitter movement RT or fav for a mention or follow back SemST,NONE,NO ONE,POSITIVE
142,1815,Hillary Clinton,Wow RT greta Baltimore Orioles to play tomorrow but no public allowed BaltimoreRiots FreddieGray ThanksObama WakeUpAmerica SemST,NONE,OTHER,NEGATIVE
143,1816,Hillary Clinton,Spoke to HillaryClinton today in NYC Wow So smart and impressive SemST,FAVOR,TARGET,POSITIVE
144,1817,Hillary Clinton,HillaryClinton Says the millionaire politician who accepts from countries that execute gays Hypocrite WakeUpAmerica SemST,AGAINST,TARGET,NEGATIVE
145,1818,Hillary Clinton,BernieSanders is running for president do not the democrats already have one really old guy running SemST,AGAINST,OTHER,NEGATIVE
146,1819,Hillary Clinton,days until I can register to vote year days until Election Day RockTheVote democrats everyvotecounts SemST,FAVOR,TARGET,POSITIVE
147,1820,Hillary Clinton,THEYRE NOT THUGS YOU TEAPARTY RACISTS THEY ARE COMMUNITY REORGANIZERS TCOT baltimoreriots SemST,NONE,OTHER,NEGATIVE
148,1821,Hillary Clinton,Hillary will get past the primaries cause Dem voters do not think she can do any wrong But she will be beat in November SemST,AGAINST,TARGET,NEGATIVE
149,1822,Hillary Clinton,HillaryClinton loving the new colorful profile pic loveit SemST,FAVOR,TARGET,POSITIVE
150,1823,Hillary Clinton,HillaryClinton Did your rich Saudi donors who execute gays join the team Hypocrite WakeUpAmerica SemST,AGAINST,TARGET,NEGATIVE
151,1824,Hillary Clinton,Also I finally moved to FDCITY today Will be much easier to get around going forward moving SemST,NONE,OTHER,POSITIVE
152,1825,Hillary Clinton,I think I am going to vote for Monica Lewinskys Ex boyfriends Wife SemST,FAVOR,TARGET,NEGATIVE
153,1826,Hillary Clinton,And the working american tax payer keeps on paying for the unethical liberals who want to destroy this great country of ours SemST,AGAINST,TARGET,NEGATIVE
154,1827,Hillary Clinton,Hillary Clinton vs Bernie Sanders primary will be like the brawl over applesauce at the retirement home ReadyForHillary SemST,FAVOR,TARGET,NEGATIVE
155,1828,Hillary Clinton,Too many women in too many countries speak the same language Í¢î of silence HILLARY CLINTON HillaryCliton HillaryWomen SemST,FAVOR,TARGET,NEGATIVE
156,1829,Hillary Clinton,Too many women in too many countries speak the same language of silence HILLARY CLINTON HillaryCliton HillaryWomen SemST,FAVOR,TARGET,POSITIVE
157,1830,Hillary Clinton,Always aim highwork hard care deeply about what U believe inwhen U stumble keep faith HILLARY CLINTON FaithHillary SemST,FAVOR,TARGET,POSITIVE
158,1831,Hillary Clinton,Its time that we move from good words good works from sound bites sound solutions HILLARY CLINTON HillaryClinton SemST,FAVOR,TARGET,POSITIVE
159,1832,Hillary Clinton,TheDemocrats DNCWomen Im down to help for election SemST,FAVOR,TARGET,POSITIVE
